,movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,comb
0,pirates of the caribbean: dead men tell no tales,Adventure Action Fantasy Comedy,Joachim Rønning,Johnny Depp,Javier Bardem,Geoffrey Rush,Johnny Depp Javier Bardem Geoffrey Rush Joachim Rønning Adventure Action Fantasy Comedy
1,justice league,Action Adventure Fantasy Sci-Fi,Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot,Ben Affleck Henry Cavill Gal Gadot Zack Snyder Action Adventure Fantasy Sci-Fi
2,thor: ragnarok,Action Adventure Fantasy Sci-Fi,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Chris Hemsworth Tom Hiddleston Cate Blanchett Taika Waititi Action Adventure Fantasy Sci-Fi
3,guardians of the galaxy vol. 2,Action Adventure Comedy Sci-Fi,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Chris Pratt Zoe Saldana Dave Bautista James Gunn Action Adventure Comedy Sci-Fi
4,the king's daughter,Fantasy Action Adventure,Sean McNamara,Pierce Brosnan,William Hurt,Benjamin Walker,Pierce Brosnan William Hurt Benjamin Walker Sean McNamara Fantasy Action Adventure
5,extinction: nature has evolved,Thriller Adventure,Adam Spinks,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,Ben Loyd-Holmes Sarah Mac Neil Newbon Adam Spinks Thriller Adventure
6,for here or to go?,Drama Comedy,Rucha Humnabadkar,Ali Fazal,Melanie Chandra,Omi Vaidya,Ali Fazal Melanie Chandra Omi Vaidya Rucha Humnabadkar Drama Comedy
7,guardians,Action Fantasy Sci-Fi,Sarik Andreasyan,Anton Pampushnyy,Sanzhar Madiyev,Sebastien Sisak,Anton Pampushnyy Sanzhar Madiyev Sebastien Sisak Sarik Andreasyan Action Fantasy Sci-Fi
8,the outcasts,Comedy,Peter Hutchings,Victoria Justice,Eden Sher,Ashley Rickards,Victoria Justice Eden Sher Ashley Rickards Peter Hutchings Comedy
9,wonder woman,Action Adventure Fantasy,Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Gal Gadot Chris Pine Robin Wright Patty Jenkins Action Adventure Fantasy
10,sly cooper,Animation Adventure Comedy Action Family,Kevin Munroe,Chris Murphy,Ian James Corlett,Matt Olsen,Chris Murphy Ian James Corlett Matt Olsen Kevin Munroe Animation Adventure Comedy Action Family
11,pitch perfect 3,Comedy,Trish Sie,Anna Kendrick,Rebel Wilson,Brittany Snow,Anna Kendrick Rebel Wilson Brittany Snow Trish Sie Comedy
12,the devil's candy,Horror,Sean Byrne,Ethan Embry,Shiri Appleby,Kiara Glasco,Ethan Embry Shiri Appleby Kiara Glasco Sean Byrne Horror
13,las plantas,Drama,Roberto Doveris,Violeta Castillo,Ingrid Isensee,Mauricio Vaca,Violeta Castillo Ingrid Isensee Mauricio Vaca Roberto Doveris Drama
14,"return to return to nuke 'em high, aka volume 2",Comedy Horror,Lloyd Kaufman,Asta Paredes,Catherine Corcoran,Zac Amino,Asta Paredes Catherine Corcoran Zac Amino Lloyd Kaufman Comedy Horror
15,the cheerleader murders,TV Movie Thriller,David Jackson,Amanda Leighton,Samantha Boscarino,Hannah Kasulka,Amanda Leighton Samantha Boscarino Hannah Kasulka David Jackson TV Movie Thriller
16,dean,Comedy,Demetri Martin,Demetri Martin,Gillian Jacobs,Christine Woods,Demetri Martin Gillian Jacobs Christine Woods Demetri Martin Comedy
17,leatherface,Horror,Alexandre Bustillo,Stephen Dorff,Lili Taylor,Sam Strike,Stephen Dorff Lili Taylor Sam Strike Alexandre Bustillo Horror
18,47 meters down,Drama Thriller Horror Adventure,Johannes Roberts,Claire Holt,Mandy Moore,Chris Johnson,Claire Holt Mandy Moore Chris Johnson Johannes Roberts Drama Thriller Horror Adventure
19,porto,Romance Drama,Gabe Klinger,Lucie Lucas,Anton Yelchin,Paulo Calatré,Lucie Lucas Anton Yelchin Paulo Calatré Gabe Klinger Romance Drama
20,mamaboy,Comedy Drama Family Fantasy Romance Sci-Fi,Aaron Leong,Sean O'Donnell,Alexandria DeBerry,Gary Busey,Sean O'Donnell Alexandria DeBerry Gary Busey Aaron Leong Comedy Drama Family Fantasy Romance Sci-Fi
